marca,memoriaRam,procesador,modelo,anioP,precio,stock
HP,8GB,Intel i5,HP-EliteBook-845,2022,649990,10
Dell,16GB,Intel i7,Dell-Inspiron-7500,2023,799990,5
Asus,8GB,AMD Ryzen 5,Asus-ZenBook-14,2021,579990,8
Apple,8GB,Apple M1,MacBookAir-M1,2022,1099990,6
Lenovo,16GB,Intel i9,ThinkPad-X1-Carbon,2023,1249990,4
Samsung,6GB,Exynos 9611,GalaxyTabS6Lite,2020,399990,12
Acer,4GB,Intel Celeron,Acer-Aspire-1,2020,249990,9
Huawei,8GB,Kirin 990,MediaPad-Pro-10,2021,429990,7
Microsoft,16GB,Intel i5,SurfaceLaptop-Go,2022,749990,5
Xiaomi,6GB,Qualcomm Snapdragon 860,Pad5-Pro,2023,489990,11
